URL ,Dosage (mg),Per Measure,Measure,Dosage per measure
https://www.amazon.com/Zinc-220mg-High-Potency-Supplement/dp/B08P7TM22H/ref=sr_1_2_sspa?crid=2C7H75RHDJYC7&keywords=high+potency+zinc&qid=1688075567&sprefix=high+potency+zinc%2Caps%2C150&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,50,1,tablet,50
https://www.amazon.com/Vitamin-Supplements-Immune-Support-Picolinate/dp/B086YNRS94/ref=sr_1_3?crid=3N8M0GFQKHCTX&keywords=Zinc+Picolinate+children&qid=1688075115&sprefix=zinc+picolinate+children%2Caps%2C137&sr=8-3,50,1,tablet,50
https://www.amazon.com/Liquid-Toddlers-Sulfate-Immunity-Thyroid/dp/B0BZRNLTLF/ref=sr_1_3?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075174&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-3,5.5,3,drops,1.833333333
https://www.amazon.com/Ionic-Liquid-Zinc-Adjustable-Supplements/dp/B0844QMHM2/ref=sr_1_2_sspa?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,10,5,drops,2
https://www.amazon.com/Zinc-Mineral-Supplement-Supports-Serving/dp/B00HX3Q9VQ/ref=sr_1_3_sspa?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-3-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,15,10,drops,1.5
https://www.amazon.com/Aerobic-Life-Zinc-Immunity-Supplement/dp/B08CRS29H9/ref=sr_1_4_sspa?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,5,5,sprays,1
https://www.amazon.com/Sulfate-MaryRuths-Glycerin-Supplement-Provides/dp/B086V9K5F7/ref=sr_1_6?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-6,11.25,4,drops,2.8125
https://www.amazon.com/Organic-Sulfate-Supplement-Vitamins-Coconut/dp/B088XF6Q8V/ref=sr_1_8?crid=11VLQ1MYPED71&keywords=Zinc+sulfate+children&qid=1688075281&sprefix=zinc+sulfat+children%2Caps%2C130&sr=8-8,15,10,drops,1.5
https://www.amazon.com/Vimergy-Organic-Liquid-Zinc-Trial/dp/B0BSLXQV9X/ref=sr_1_2_sspa?crid=2C7H75RHDJYC7&keywords=high+potency+zinc&qid=1688075615&sprefix=high+potency+zinc%2Caps%2C150&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,7.5,2,drops,3.75
https://www.amazon.com/Maxi-Health-Zinc-100-Count/dp/B06Y67KRYC/ref=sr_1_4_sspa?crid=2C7H75RHDJYC7&keywords=high+potency+zinc&qid=1688075615&sprefix=high+potency+zinc%2Caps%2C150&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1,30,1,capsule,30
https://www.amazon.com/Nature-Made-Zinc-Gluconate-Tablets/dp/B0000DJAPU/ref=sr_1_10?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079368&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-10,30,1,tablet,30
https://www.amazon.com/Gummies-Echinacea-Formulated-Supplement-Chewable/dp/B08WLH75D7/ref=sr_1_7?crid=2OKSCS03ZQ7RD&keywords=zinc+supplements+kids&qid=1688079234&sprefix=zinc+supplements+kid%2Caps%2C150&sr=8-7,10,2,gummies,5
https://www.amazon.com/WellWorks-Zinc-Gummies-Kids-Supplement/dp/B08L48DLHB/ref=sr_1_6?crid=2OKSCS03ZQ7RD&keywords=zinc+supplements+kids&qid=1688079291&rdc=1&sprefix=zinc+supplements+kid%2Caps%2C150&sr=8-6,25,1,gummy,25
https://www.amazon.com/Yuve-Vegan-Natural-Zinc-Supplement/dp/B0797Z3YP9/ref=sr_1_21_sspa?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079416&rdc=1&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-21-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9tdGY&psc=1,50,1,tablet,50
https://www.amazon.com/Natures-Way-Supports-Function-Flavored/dp/B08RT3NLGZ/ref=sr_1_30?crid=3H95KAR20PASN&keywords=zinc+nature+made+kids&qid=1688079416&sprefix=zinc+nature+ma+kids%2Caps%2C148&sr=8-30,11,1,gummy,11